2024-01-28 14:01:806 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-28 14:01:443 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-28 14:01:118 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:562 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:410 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:197 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:470 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:773 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:553 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:771 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:93 INFO  HomePage :29 - Click on accept all cookies: [[ChromeDriver: chrome on windows (93d505d0a470f305e5d017672451d31f)] -> css selector: label[for='privacy_pref_optin']]
2024-01-28 15:01:130 INFO  HomePage :33 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (93d505d0a470f305e5d017672451d31f)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-01-28 15:01:343 INFO  HomePage :39 - Click on Casino Tab: [[ChromeDriver: chrome on windows (93d505d0a470f305e5d017672451d31f)] -> link text: Casino]
2024-01-28 15:01:590 INFO  HomePage :43 - verify popular online casino games message: [[ChromeDriver: chrome on windows (93d505d0a470f305e5d017672451d31f)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-01-28 15:01:736 INFO  ManageBrowser :37 - Chrome Browser Launch .....
2024-01-28 15:01:900 INFO  HomePage :29 - Click on accept all cookies: [[ChromeDriver: chrome on windows (4de030ba528741422876cced22ddc4a5)] -> css selector: label[for='privacy_pref_optin']]
2024-01-28 15:01:942 INFO  HomePage :33 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (4de030ba528741422876cced22ddc4a5)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-01-28 15:01:213 INFO  HomePage :39 - Click on Casino Tab: [[ChromeDriver: chrome on windows (4de030ba528741422876cced22ddc4a5)] -> link text: Casino]
2024-01-28 15:01:270 INFO  HomePage :43 - verify popular online casino games message: [[ChromeDriver: chrome on windows (4de030ba528741422876cced22ddc4a5)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-01-28 15:01:66 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-01-28 15:01:435 INFO  HomePage :29 - Click on accept all cookies: [[ChromeDriver: chrome on windows (3199e2be118f6908842eedddab6d62dd)] -> css selector: label[for='privacy_pref_optin']]
